Sire	Dams	dano	R2	arcsinR2
35	85	0.17444	0.82556	1.139928
35	85	0.24145	0.75855	1.057128
35	85	0.20411	0.79589	1.102031
35	85	0.23186	0.76814	1.06841
35	85	0.22368	0.77632	1.078162
35	85	0.26173	0.73827	1.033756
35	86	0.2221	0.7779	1.080061
35	86	0.15119	0.84881	1.171433
35	86	0.253	0.747	1.04374
35	86	0.13437	0.86563	1.195482
35	86	0.202	0.798	1.104653
35	86	NA	NA	NA
35	86	0.26896	0.73104	1.025568
35	86	NA	NA	NA
35	86	0.11658	0.88342	1.22235
35	86	0.20178	0.79822	1.104927
35	86	0.30661	0.69339	0.983967
35	86	0.21948	0.78052	1.083219
35	86	0.1344	0.8656	1.195438
35	86	NA	NA	NA
35	86	0.26517	0.73483	1.029851
35	86	0.26756	0.73244	1.027148
36	87	0.14055	0.85945	1.186507
36	87	0.14139	0.85861	1.185301
36	87	0.19544	0.80456	1.112873
36	87	0.1641	0.8359	1.153716
36	87	0.20046	0.79954	1.106574
36	87	0.18884	0.81116	1.12125
36	88	0.2066	0.7934	1.098949
36	88	0.20064	0.79936	1.106349
36	88	0.15108	0.84892	1.171587
36	88	0.18391	0.81609	1.12758
36	88	0.08	0.92	1.28404
37	89	0.2425	0.7575	1.055902
37	89	0.2408	0.7592	1.057888
37	89	0.078447	0.921553	1.286915
37	89	0.262332	0.7376683	1.033071
37	89	NA	NA	NA
37	89	0.16158	0.83842	1.157129
37	89	0.26525	0.73475	1.02976
37	89	0.40686	0.59314	0.879085
37	89	0.15541	0.84459	1.165577
37	89	0.26474	0.73526	1.030338
37	89	NA	NA	NA
37	90	0.32497	0.67503	0.964216
37	90	0.14102	0.85898	1.185832
37	90	0.15547	0.84453	1.165494
37	90	0.28816	0.71184	1.00415
37	90	0.27149	0.72851	1.022719
37	90	0.16953	0.83047	1.146433
37	90	0.22463	0.77537	1.077023
37	90	0.19015	0.80985	1.119578
38	93	0.24683	0.75317	1.050866
38	93	0.65528	0.34472	0.627507
38	93	0.455	0.545	0.830459
38	94	0.26013	0.73987	1.035577
38	94	0.39092	0.60908	0.895362
38	94	0.15509	0.84491	1.166018
38	94	0.24719	0.75281	1.050448
38	94	0.23558	0.76442	1.064015
40	101	0.25844	0.74156	1.037506
40	101	0.21325	0.78675	1.090784
40	101	0.13674	0.86326	1.19202
40	101	0.19967	0.80033	1.107561
40	101	0.18	0.82	1.132647
40	101	NA	NA	NA
40	101	0.31182	0.68818	0.97833
40	101	NA	NA	NA
40	101	0.14146	0.85854	1.1852
40	101	0.13447	0.86553	1.195335
40	101	0.24673	0.75327	1.050982
40	101	0.27686	0.72314	1.0167
40	101	0.2202	0.7798	1.08235
40	101	NA	NA	NA
40	101	0.297185	0.70281467	0.994232
40	101	NA	NA	NA
40	102	0.22347	0.77653	1.078414
40	102	0.16201	0.83799	1.156545
40	102	0.19847	0.80153	1.109064
40	102	0.38	0.62	0.906581
40	102	0.60593	0.39407	0.678659
41	103	0.34534	0.65466	0.942637
41	103	0.16171	0.83829	1.156952
41	103	0.15651	0.84349	1.164061
41	103	0.16928	0.83072	1.146767
41	103	0.17043	0.82957	1.145235
41	103	0.179444	0.820556	1.133371
41	103	0.18528	0.81472	1.125814
41	103	0.13078	0.86922	1.200775
41	104	0.090233	0.909767	1.265697
41	104	0.13145	0.86855	1.199783
41	104	0.154	0.846	1.167526
41	104	0.21292	0.78708	1.091187
42	107	0.05	0.95	1.345283
42	107	0.17148	0.82852	1.143841
42	107	0.16635	0.83365	1.150687
42	107	0.27165	0.72835	1.022539
42	107	0.22	0.78	1.082591
42	107	0.23985	0.76015	1.058999
42	107	0.11854	0.88146	1.219307
42	108	0.22191	0.77809	1.080289
42	108	0.15943	0.84057	1.160057
42	108	0.17023	0.82977	1.145501
42	108	0.13313	0.86687	1.197303
42	108	0.16263	0.83737	1.155704
42	108	0.15555	0.84445	1.165383
42	108	0.095386	0.904614	1.256817
43	109	0.1	0.9	1.249046
43	109	0.25832	0.74168	1.037643
43	109	0.16371	0.83629	1.154243
43	109	0.17927	0.82073	1.133598
43	109	0.154137	0.84586345	1.167337
43	109	0.20031	0.79969	1.106761
43	109	0.15045	0.84955	1.172467
43	109	0.18717	0.81283	1.123387
43	109	0.12675	0.87325	1.206791
43	109	0.13668	0.86332	1.192107
43	109	0.13336	0.86664	1.196965
43	109	0.059478	0.9405223	1.324431
43	110	0.14096	0.85904	1.185918
43	110	0.16562	0.83438	1.151668
43	110	0.2	0.8	1.107149
43	110	0.23624	0.76376	1.063238
43	110	0.21126	0.78874	1.093217
43	110	0.40037	0.59963	0.8857
44	117	0.20168	0.79832	1.105052
44	117	0.10872	0.89128	1.234782
44	117	0.16928	0.83072	1.146767
44	117	0.3061	0.6939	0.98452
44	117	0.17175	0.82825	1.143483
44	117	0.1548	0.8452	1.166419
44	117	0.16108	0.83892	1.157809
44	117	0.094803	0.905197	1.25781
44	117	0.1905	0.8095	1.119133
44	118	0.097055	0.902945	1.253987
44	118	0.14943	0.85057	1.173896
44	118	0.15244	0.84756	1.169692
44	118	0.17125	0.82875	1.144146
44	118	0.1736	0.8264	1.141036
45	119	0.1623	0.8377	1.156152
45	119	0.17	0.83	1.145808
45	119	0.13744	0.86256	1.191002
45	119	0.18588	0.81412	1.125043
45	119	0.28079	0.71921	1.012318
45	119	0.30571	0.69429	0.984943
45	119	0.25187	0.74813	1.045041
45	119	0.25915	0.74085	1.036695
45	119	0.20129	0.79871	1.105538
45	119	0.17069	0.82931	1.14489
45	119	0.15448	0.84552	1.166862
45	119	0.30581	0.69419	0.984835
45	120	0.2	0.8	1.107149
45	120	0.11831	0.88169	1.219663
45	120	0.07	0.93	1.303033
45	120	0.14383	0.85617	1.181812
45	120	0.15	0.85	1.173097
45	120	0.27752	0.72248	1.015963
46	121	0.13471	0.86529	1.194984
46	121	0.10273	0.89727	1.244523
46	121	0.092798	0.907202	1.261249
46	121	0.13764	0.86236	1.190712
46	121	0.442	0.558	0.843529
46	121	0.434	0.566	0.851591
46	121	0.236814	0.763186	1.062562
46	121	0.21615	0.78385	1.087253
46	121	0.28719	0.71281	1.005222
46	121	0.29519	0.70481	0.996417
46	121	0.22764	0.77236	1.073426
46	121	0.11131	0.88869	1.230643
46	121	0.14647	0.85353	1.178064
46	121	0.36	0.64	0.927295
46	121	0.37	0.63	0.916909
46	121	0.31	0.69	0.980296
46	121	0.27	0.73	1.024396
46	121	0.1501	0.8499	1.172957
46	121	0.24076	0.75924	1.057934
46	121	0.17871	0.82129	1.134329
46	121	0.32467	0.67533	0.964536
46	121	0.22865	0.77135	1.072222
46	121	0.17333	0.82667	1.141392
46	122	0.2016	0.7984	1.105152
46	122	0.16993	0.83007	1.145901
46	122	0.21	0.79	1.094763
46	122	0.1156	0.8844	1.223879
46	122	0.071668	0.928332	1.299782
46	122	0.12323	0.87677	1.212113
46	122	0.14696	0.85304	1.177372
46	122	0.25	0.75	1.047198
48	125	0.37	0.63	0.916909
48	125	0.362	0.638	0.925213
48	126	0.22291	0.77709	1.079087
48	126	0.1657	0.8343	1.15156
48	126	0.5	0.5	0.785398
48	126	0.096011	0.903989	1.255754
48	126	0.5	0.5	0.785398
48	126	0.23226	0.76774	1.067936
48	126	0.21785	0.78215	1.085191
48	126	0.12791	0.87209	1.205051
49	127	0.1386	0.8614	1.189321
49	127	0.17668	0.82332	1.136984
49	127	0.15	0.85	1.173097
49	127	0.22279	0.77721	1.079231
49	127	NA	NA	NA
49	127	0.11511	0.88489	1.224646
49	127	0.25575	0.74425	1.040583
49	127	0.26745	0.73255	1.027272
49	127	0.21123	0.78877	1.093254
49	128	0.14903	0.85097	1.174457
49	128	0.185	0.815	1.126175
49	128	0.19313	0.80687	1.115793
49	128	0.21039	0.78961	1.094284
49	128	0.12736	0.87264	1.205876
49	128	0.27314	0.72686	1.020866
49	128	0.21444	0.78556	1.089333
50	129	0.237	0.763	1.062343
50	129	0.23744	0.76256	1.061826
50	129	0.237	0.763	1.062343
50	129	0.27361	0.72639	1.020339
50	129	0.3405	0.6595	0.947735
50	129	0.17285	0.82715	1.142026
50	129	0.16448	0.83552	1.153203
50	129	0.26166	0.73834	1.033835
50	129	0.08	0.92	1.28404
50	129	0.2	0.8	1.107149
50	129	0.15944	0.84056	1.160044
50	129	0.22874	0.77126	1.072115
50	130	0.21346	0.78654	1.090528
50	130	0.4	0.6	0.886077
50	130	0.1443	0.8557	1.181142
50	130	0.17687	0.82313	1.136735
50	130	0.16865	0.83135	1.147607
50	130	0.25	0.75	1.047198
50	130	0.16654	0.83346	1.150432
50	130	0.4	0.6	0.886077
51	131	0.19079	0.80921	1.118763
51	131	0.20917	0.79083	1.095782
51	131	0.3	0.7	0.991157
51	131	0.20036	0.79964	1.106699
51	131	NA	NA	NA
51	131	0.25	0.75	1.047198
51	131	NA	NA	NA
51	131	0.14885	0.85115	1.17471
51	131	0.21	0.79	1.094763
51	131	0.2	0.8	1.107149
51	131	0.39682	0.60318	0.889325
51	131	0.19568	0.80432	1.112571
51	131	0.16166	0.83834	1.15702
51	131	0.21255	0.78745	1.091639
51	131	0.12162	0.87838	1.214569
51	131	0.20944	0.79056	1.09545
51	131	0.21243	0.78757	1.091786
51	131	0.31036	0.68964	0.979907
51	131	0.36189	0.63811	0.925328
51	131	0.29753	0.70247	0.993855
51	131	0.34515	0.65485	0.942837
51	131	0.21671	0.78329	1.086573
51	131	NA	NA	NA
51	131	0.22802	0.77198	1.072973
51	131	0.25357	0.74643	1.043085
51	131	0.17668	0.82332	1.136984
51	131	0.25073	0.74927	1.046355
51	132	0.13824	0.86176	1.189842
51	132	0.15311	0.84689	1.16876
51	132	0.12415	0.87585	1.210716
51	132	0.1259	0.8741	1.208071
51	132	0.14	0.86	1.187299
51	132	0.16057	0.83943	1.158503
51	132	0.17686	0.82314	1.136748
51	132	0.201256	0.7987435	1.10558
51	132	0.18683	0.81317	1.123823
51	132	0.24261	0.75739	1.055774
51	132	0.13959	0.86041	1.18789
51	132	0.10991	0.89009	1.232875
51	132	NA	NA	NA
51	132	0.1819	0.8181	1.13018
51	132	NA	NA	NA
51	132	0.201256	0.79874357	1.10558
52	133	0.20103	0.79897	1.105862
52	133	0.10739	0.89261	1.236924
52	133	0.3	0.7	0.991157
52	133	0.23652	0.76348	1.062908
52	133	0.2163	0.7837	1.087071
52	133	0.17398	0.82602	1.140534
52	133	0.15149	0.84851	1.171015
52	133	0.14547	0.85453	1.17948
52	134	0.17643	0.82357	1.137312
52	134	0.11978	0.88022	1.217393
52	134	0.19	0.81	1.11977
52	134	0.1073	0.8927	1.237069
52	134	0.28	0.72	1.013198
52	134	0.32	0.68	0.969532
52	134	0.20464	0.79536	1.101374
52	134	0.10498	0.89502	1.240835
52	134	0.19173	0.80827	1.117568
52	134	0.18371	0.81629	1.127838
52	134	0.20997	0.79003	1.094799
52	134	0.19284	0.80716	1.11616
52	134	0.186223	0.8137775	1.124603
52	134	0.1461	0.8539	1.178588
53	137	0.10216	0.89784	1.245463
53	137	0.17498	0.82502	1.139217
53	137	0.24739	0.75261	1.050217
53	137	0.15406	0.84594	1.167443
53	137	NA	NA	NA
53	137	0.188821	0.81117917	1.121274
53	137	0.3	0.7	0.991157
53	137	0.19355	0.80645	1.115261
53	137	0.14768	0.85232	1.176356
53	137	0.35	0.65	0.937744
53	137	0.21148	0.78852	1.092948
53	137	0.1574	0.8426	1.162837
53	137	0.0813	0.9187	1.281653
53	138	0.12202	0.87798	1.213958
53	138	0.16114	0.83886	1.157727
53	138	0.17937	0.82063	1.133468
53	138	0.4	0.6	0.886077
53	138	0.2326	0.7674	1.067534
53	138	NA	NA	NA
53	138	0.3	0.7	0.991157
53	138	0.28383	0.71617	1.008941
53	138	0.11341	0.88659	1.227318
53	138	0.2748	0.7252	1.019005
53	138	0.19292	0.80708	1.116059
53	138	0.19202	0.80798	1.1172
53	138	NA	NA	NA
53	138	0.14877	0.85123	1.174822
53	138	NA	NA	NA
53	138	0.21238	0.78762	1.091847
53	138	0.2326	0.7674	1.067534
53	138	0.08	0.92	1.28404
53	138	0.1943	0.8057	1.114312
54	139	0.51494	0.48506	0.770456
54	139	0.35222	0.64778	0.935419
54	139	0.37511	0.62489	0.911625
54	139	0.55481	0.44519	0.730478
54	139	0.65688	0.34312	0.625823
54	139	0.20832	0.79168	1.096828
54	139	0.24716	0.75284	1.050483
54	140	0.33	0.67	0.958857
54	140	0.20388	0.79612	1.102316
54	140	0.27	0.73	1.024396
56	143	0.18801	0.81199	1.122311
56	143	0.14562	0.85438	1.179268
56	143	0.13661	0.86339	1.192209
56	143	0.13811	0.86189	1.190031
56	143	0.1724	0.8276	1.142622
56	144	0.18158	0.81842	1.130595
56	144	0.18062	0.81938	1.131841
56	144	0.13736	0.86264	1.191119
56	144	0.23198	0.76802	1.068268
56	144	0.15761	0.84239	1.162549
56	144	0.22638	0.77362	1.07493
56	144	0.192331	0.80766917	1.116806
56	144	0.16055	0.83945	1.15853
56	144	0.243	0.757	1.055319
56	144	0.22755	0.77245	1.073533
56	144	0.18467	0.81533	1.1266
56	144	0.19774	0.80226	1.10998
56	144	0.17893	0.82107	1.134041
57	145	0.11	0.89	1.232731
57	145	0.098914	0.901086	1.25086
57	145	0.19043	0.80957	1.119222
57	145	0.21448	0.78552	1.089284
57	145	0.19704	0.80296	1.110859
57	145	0.17795	0.82205	1.135321
57	146	0.15	0.85	1.173097
57	146	0.10488	0.89512	1.240998
57	146	0.24029	0.75971	1.058484
57	146	0.20787	0.79213	1.097382
57	146	0.1833	0.8167	1.128368
57	146	0.15734	0.84266	1.16292
57	146	0.2164	0.7836	1.086949
57	146	0.079669	0.920331	1.28465
57	146	0.16657	0.83343	1.150392
